start;end;chr
899487;899560;1
899729;899910;1
900343;901099;1
901862;901994;1
902084;902183;1
905657;905803;1
905901;905981;1
906066;906138;1
906259;906386;1
906457;906588;1
906704;906784;1
907455;907530;1
907668;907804;1
908241;908390;1
908566;908706;1
908880;909020;1
909213;909431;1
909696;909744;1
909822;911245;1
901862;901994;1
902084;902183;1
905657;905803;1
905901;905981;1
906066;906138;1
906259;906386;1
906457;906588;1
906704;906784;1
907455;907530;1
907668;907804;1
908241;908390;1
908880;909020;1
909213;909431;1
909696;909744;1
909822;911245;1
901862;901994;1
902084;902183;1
905657;905803;1
905901;905981;1
906066;906138;1
906259;906386;1
906493;906588;1
906704;906784;1
907455;907530;1
907668;907804;1
908241;908390;1
908566;908706;1
908880;909020;1
909213;909431;1
909696;909744;1
909822;911245;1
917445;917473;1
914261;916427;1
911879;912004;1
910578;911649;1
917445;917473;1
916517;916553;1
914261;916037;1
911879;912004;1
910578;911649;1
917445;917473;1
914261;916553;1
911879;912004;1
910578;911649;1
917350;917473;1
914261;916553;1
911879;912004;1
910578;911649;1
914261;916553;1
911879;911938;1
910578;911649;1
935246;935477;1
935072;935167;1
934906;934993;1
934344;934812;1
935072;935477;1
934906;934993;1
934344;934812;1
943440;943670;1
948877;948956;1
949364;949920;1
955500;955753;1
957581;957842;1
970657;970704;1
976045;976260;1
976553;976777;1
976858;977082;1
977336;977542;1
978619;978837;1
978918;979112;1
979203;979403;1
979489;979637;1
979714;979819;1
980541;980657;1
980739;980903;1
981113;981256;1
981344;981468;1
981540;981645;1
981777;982115;1
982200;982337;1
982707;982834;1
982953;983067;1
983156;983275;1
983392;983745;1
984247;984439;1
984616;984831;1
984946;985175;1
985283;985417;1
985613;985709;1
985807;985971;1
986106;986217;1
986412;986423;1
986633;986749;1
986833;987025;1
987108;987195;1
987373;987396;1
988841;988873;1
989133;989357;1
989828;989931;1
990204;991496;1
955500;955753;1
957581;957842;1
970657;970704;1
976045;976260;1
976553;976777;1
976858;977082;1
977336;977542;1
978619;978837;1
978918;979112;1
979203;979403;1
979489;979637;1
979714;979819;1
980541;980657;1
980739;980903;1
981113;981256;1
981344;981468;1
981540;981645;1
981777;982115;1
982200;982337;1
982707;982834;1
982953;983067;1
983156;983275;1
983392;983745;1
984247;984439;1
984616;984831;1
984946;985175;1
985283;985417;1
985613;985709;1
985807;985971;1
986106;986217;1
986633;986749;1
986833;987025;1
987108;987195;1
989133;989357;1
989828;989931;1
990204;991496;1
969373;970083;1
970657;970704;1
976045;976260;1
976553;976777;1
976858;977082;1
977336;977542;1
978619;978837;1
978918;979112;1
979203;979403;1
979489;979637;1
979714;979819;1
980541;980657;1
980739;980903;1
981113;981256;1
981344;981468;1
981540;981645;1
981777;982115;1
982200;982337;1
982707;982834;1
982953;983067;1
983156;983275;1
983392;983745;1
984247;984439;1
984616;984831;1
984946;985175;1
985283;985417;1
985613;985709;1
985807;985971;1
986106;986217;1
986412;986423;1
986633;986749;1
986833;987025;1
987108;987195;1
989133;989357;1
989828;989931;1
990204;991496;1
995114;995226;1
995660;995773;1
998459;998581;1
1001210;1001833;1
1003941;1004717;1
1001015;1001213;1
1003941;1004717;1
1003178;1003420;1
1002126;1002178;1
1001846;1001978;1
1001015;1001213;1
1009396;1009686;1
1006347;1007955;1
1051440;1051469;1
1027371;1027483;1
1026852;1026945;1
1025733;1025808;1
1022882;1022977;1
1022519;1022584;1
1021258;1021392;1
1019861;1019886;1
1019733;1019763;1
1017203;1018367;1
1051440;1051469;1
1050402;1050455;1
1027371;1027483;1
1026852;1026945;1
1025733;1025808;1
1022882;1022977;1
1022519;1022584;1
1021258;1021392;1
1019861;1019886;1
1019295;1019763;1
1017203;1018367;1
1051440;1051469;1
1050402;1050455;1
1027371;1027483;1
1026852;1026945;1
1026256;1026363;1
1025733;1025808;1
1022882;1022977;1
1022519;1022584;1
1021258;1021392;1
1019861;1019886;1
1019295;1019763;1
1017203;1018367;1
1072397;1072490;1
1076205;1076412;1
1078119;1079436;1
1102484;1102578;1
1102504;1102525;1
1102540;1102561;1
1103243;1103332;1
1103258;1103279;1
1103296;1103317;1
1104385;1104467;1
1104435;1104456;1
1114745;1114935;1
1108436;1111776;1
1109260;1109306;1
1109646;1109701;1
1109804;1109869;1
1114569;1114713;1
1115037;1115117;1
1115414;1115720;1
1115863;1115981;1
1116111;1116240;1
1117121;1117195;1
1117741;1117826;1
1118256;1118427;1
1119300;1119471;1
1120349;1120489;1
1131980;1132096;1
1132473;1132566;1
1132818;1133316;1
1109260;1109306;1
1109665;1109701;1
1109804;1109869;1
1114569;1114713;1
1115037;1115117;1
1115414;1115720;1
1115863;1115981;1
1116111;1116240;1
1117121;1117195;1
1117741;1117826;1
1118256;1118427;1
1119300;1119471;1
1120349;1120489;1
1131980;1132096;1
1132473;1132566;1
1132818;1133316;1
1115061;1115233;1
1115414;1115720;1
1115863;1115981;1
1116111;1116240;1
1117121;1117195;1
1117741;1117826;1
1118256;1118427;1
1119300;1119471;1
1120349;1121244;1
1141765;1141972;1
1140750;1140872;1
1139779;1139866;1
1138888;1139340;1
1141765;1141972;1
1140750;1140872;1
1139779;1139866;1
1139435;1139616;1
1138888;1139348;1
1141765;1141972;1
1140750;1140872;1
1139779;1139866;1
1139414;1139616;1
1138888;1139348;1
1149363;1149533;1
1149043;1149165;1
1148372;1148473;1
1148018;1148084;1
1147322;1147518;1
1147084;1147212;1
1146720;1147005;1
1167272;1167381;1
1163848;1164326;1
1159212;1159348;1
1158624;1158737;1
1154149;1154307;1
1153838;1154013;1
1152311;1153068;1
1167272;1167381;1
1163848;1164326;1
1159212;1159348;1
1158624;1158737;1
1154149;1154307;1
1153838;1154013;1
1152311;1153184;1
1167617;1170421;1
1181894;1182102;1
1179761;1179877;1
1179571;1179655;1
1179334;1179485;1
1178824;1178932;1
1178442;1178532;1
1178215;1178293;1
1177833;1178026;1
1209046;1209234;1
1198726;1198766;1
1192588;1192690;1
1192372;1192510;1
1191425;1191505;1
1189292;1190867;1
1209046;1209234;1
1203242;1203372;1
1198726;1198766;1
1192588;1192690;1
1192372;1192510;1
1191425;1191505;1
1189292;1190867;1
1209046;1209234;1
1203242;1203372;1
1200163;1200210;1
1198726;1198766;1
1192588;1192690;1
1192372;1192510;1
1191425;1191505;1
1189292;1190867;1
1209046;1209234;1
1203113;1203372;1
1198726;1198766;1
1192588;1192690;1
1192372;1192510;1
1191425;1191505;1
1189292;1190867;1
1215816;1216046;1
1216606;1216677;1
1216791;1216990;1
1217622;1217695;1
1219358;1219470;1
1221306;1221658;1
1222148;1222355;1
1222489;1222679;1
1222888;1222976;1
1223053;1223216;1
1223319;1223417;1
1225651;1225768;1
1225857;1225935;1
1226017;1226074;1
1226275;1226333;1
1226445;1226520;1
1226634;1227405;1
1215816;1216046;1
1216606;1216677;1
1216791;1216990;1
1217622;1217695;1
1219358;1219470;1
1220951;1221044;1
1221306;1221658;1
1222148;1222355;1
1222489;1222679;1
1222888;1222976;1
1223053;1223216;1
1223319;1223417;1
1225651;1225768;1
1225857;1225935;1
1226017;1226074;1
1226275;1226333;1
1226445;1226520;1
1226634;1227405;1
1243149;1243310;1
1239466;1239523;1
1238542;1238661;1
1238302;1238355;1
1237368;1237426;1
1235889;1236072;1
1235538;1235582;1
1235353;1235448;1
1235211;1235285;1
1234725;1234736;1
1233947;1234059;1
1233750;1233801;1
1233393;1233493;1
1233202;1233313;1
1231805;1232013;1
1231591;1231660;1
1231395;1231489;1
1231116;1231318;1
1230827;1230934;1
1230098;1230196;1
1229782;1230008;1
1229470;1229579;1
1229203;1229313;1
1227771;1229088;1
1231490;1231550;1
1231490;1231509;1
1231525;1231545;1
1240109;1240192;1
1243977;1244100;1
1244466;1244653;1
1244834;1244983;1
1245061;1245231;1
1246014;1246068;1
1246289;1246451;1
1246710;1247057;1
1243977;1244100;1
1244295;1244352;1
1244466;1244653;1
1244834;1244983;1
1245061;1245231;1
1246014;1246068;1
1246220;1246451;1
1246710;1247057;1
1243977;1244100;1
1244295;1244352;1
1244466;1244653;1
1244834;1244983;1
1245061;1245231;1
1246014;1246068;1
1246289;1246451;1
1246710;1247057;1
1259961;1260040;1
1256376;1256473;1
1250900;1250998;1
1250784;1250818;1
1250204;1250342;1
1249681;1249745;1
1249112;1249301;1
1248889;1248972;1
1248415;1248504;1
1248167;1248329;1
1247973;1248080;1
1247820;1247881;1
1247606;1247748;1
1247398;1247527;1
1246980;1247304;1
1259961;1260040;1
1256376;1256473;1
1255836;1255909;1
1254676;1254904;1
1250900;1250998;1
1250784;1250818;1
1250204;1250342;1
1249681;1249745;1
1249112;1249301;1
1248889;1248972;1
1248415;1248504;1
1248167;1248329;1
1247973;1248080;1
1247820;1247881;1
1247606;1247748;1
1247398;1247527;1
1246980;1247304;1
1259961;1260040;1
1258561;1258667;1
1256376;1256473;1
1255836;1255909;1
1254676;1254904;1
1250900;1250998;1
1250784;1250818;1
1250204;1250342;1
1249681;1249745;1
1249112;1249301;1
1248889;1248972;1
1248415;1248504;1
1248167;1248329;1
1247973;1248080;1
1247820;1247881;1
1247606;1247748;1
1247398;1247527;1
1246980;1247304;1
1259961;1260040;1
1258557;1258667;1
1250900;1250994;1
1250784;1250818;1
1250204;1250342;1
1249681;1249745;1
1249112;1249301;1
1248889;1248972;1
1248415;1248504;1
1248167;1248329;1
1247973;1248080;1
1247820;1247881;1
1247606;1247748;1
1247398;1247527;1
1246980;1247304;1
1259961;1260040;1
1258272;1258667;1
1257288;1257364;1
1256376;1256473;1
1255836;1255909;1
1254676;1254904;1
1250900;1250998;1
1250784;1250818;1
1250204;1250342;1
1249681;1249745;1
1249112;1249301;1
1248889;1248972;1
1248415;1248504;1
1248167;1248329;1
1247973;1248080;1
1247820;1247881;1
1247606;1247748;1
1247398;1247527;1
1246980;1247304;1
1247882;1247946;1
1247882;1247901;1
1247919;1247941;1
1260182;1260482;1
1262216;1262412;1
1262621;1264276;1
1266660;1266916;1
1267018;1267318;1
1267404;1268186;1
1268301;1268504;1
1268639;1268759;1
1268886;1270694;1
1284276;1284798;1
1278069;1278138;1
1277743;1277864;1
1277433;1277536;1
1277047;1277185;1
1275790;1275883;1
1275627;1275696;1
1275418;1275557;1
1275116;1275192;1
1274962;1275029;1
1274742;1274819;1
1273902;1274033;1
1273649;1273816;1
1273357;1273563;1
1270658;1271895;1
1284276;1284798;1
1278069;1278138;1
1277743;1277864;1
1277433;1277536;1
1277047;1277185;1
1275790;1275883;1
1275627;1275696;1
1275418;1275557;1
1275116;1275192;1
1274962;1275029;1
1274667;1274819;1
1273902;1274033;1
1273649;1273816;1
1273357;1273563;1
1270658;1271895;1
1275030;1275088;1
1275030;1275050;1
1275062;1275083;1
1293836;1293927;1
1292061;1292084;1
1290830;1291132;1
1290624;1290725;1
1290062;1290532;1
1289734;1289889;1
1289573;1289612;1
1289410;1289486;1
1289228;1289326;1
1288069;1288712;1
1298897;1298921;1
1293836;1293927;1
1292061;1292084;1
1290830;1291132;1
1290624;1290725;1
1290062;1290532;1
1289734;1289889;1
1289573;1289612;1
1289410;1289486;1
1289228;1289308;1
1288071;1289009;1
1296622;1297179;1
1292061;1292084;1
1290830;1291132;1
1290624;1290725;1
1290062;1290532;1
1289734;1289889;1
1289573;1289612;1
1289410;1289486;1
1289228;1289308;1
1288071;1289009;1
1293836;1293935;1
1292061;1292084;1
1290624;1290725;1
1290062;1290532;1
1289734;1289889;1
1289573;1289612;1
1289410;1289486;1
1289228;1289308;1
1288071;1289009;1
1293836;1293935;1
1292061;1292084;1
1290830;1291132;1
1290624;1290725;1
1290062;1290532;1
1289734;1289889;1
1289573;1289612;1
1289410;1289486;1
1289228;1289308;1
1288071;1289009;1
1310534;1310587;1
1310085;1310170;1
1309380;1309825;1
1309116;1309282;1
1310455;1310587;1
1310085;1310170;1
1309380;1309825;1
1309116;1309282;1
1310377;1310587;1
1310085;1310170;1
1309380;1309825;1
1309116;1309282;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1328059;1328183;1
1326677;1326955;1
1326146;1326245;1
1325839;1325943;1
1325610;1325751;1
1324006;1324123;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1328059;1328183;1
1326146;1326955;1
1325839;1325943;1
1325610;1325751;1
1324006;1324123;1
1323872;1323890;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1326146;1328183;1
1325839;1325943;1
1325610;1325751;1
1324330;1324427;1
1324006;1324123;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1326146;1326245;1
1325839;1325943;1
1325610;1325751;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1328170;1328183;1
1326146;1326245;1
1325839;1325943;1
1325610;1325751;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1328170;1328183;1
1326677;1326955;1
1326146;1326245;1
1325839;1325943;1
1325610;1325751;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1328170;1328183;1
1326146;1326955;1
1325839;1325943;1
1325610;1325751;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1328059;1328183;1
1326146;1326245;1
1325839;1325943;1
1325610;1325751;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1328059;1328183;1
1326677;1326955;1
1326146;1326245;1
1325839;1325943;1
1325610;1325751;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1333613;1333722;1
1330774;1330917;1
1328776;1328840;1
1328059;1328183;1
1326146;1326245;1
1325839;1325943;1
1325610;1325751;1
1323334;1323445;1
1323157;1323249;1
1321091;1322962;1
1334399;1334715;1
1333977;1334051;1
1333613;1333722;1
1330774;1330894;1
1328776;1328840;1
1327673;1328183;1
1334910;1335069;1
1335538;1335683;1
1335985;1337426;1
1342511;1342673;1
1342289;1342399;1
1341189;1341266;1
1337289;1337636;1
1342511;1342673;1
1342289;1342399;1
1341189;1341266;1
1337289;1337981;1
1343728;1346064;1
1356513;1356656;1
1356196;1356385;1
1353800;1354929;1
1356513;1356656;1
1356177;1356385;1
1353800;1354929;1
1356513;1356656;1
1356177;1356385;1
1355432;1355972;1
1353800;1354929;1
1356196;1356656;1
1353800;1354929;1
1356177;1356656;1
1353800;1354929;1
1361251;1361765;1
1362934;1365635;1
1369568;1369953;1
1365537;1366042;1
1369558;1369953;1
1365537;1366042;1
1369558;1369953;1
1365537;1366334;1
1371070;1371201;1
1372307;1372864;1
1374461;1378262;1
1371070;1371201;1
1372702;1372864;1
1374461;1378262;1
1385069;1386138;1
1387426;1387502;1
1387745;1387814;1
1389725;1389880;1
1390840;1390899;1
1391171;1391296;1
1391605;1391729;1
1392509;1392560;1
1394541;1394611;1
1396130;1396297;1
1397980;1398088;1
1403764;1405543;1
1407145;1407469;1
1412654;1412730;1
1414024;1414125;1
1414429;1414488;1
1416247;1416316;1
1417518;1417683;1
1417925;1417994;1
1420396;1420551;1
1421162;1421218;1
1421490;1421615;1
1421924;1422048;1
1423243;1423294;1
1424584;1424654;1
1425637;1425804;1
1425943;1426051;1
1430865;1433228;1
1413229;1414125;1
1414429;1414488;1
1416247;1416316;1
1417518;1417683;1
1417925;1417994;1
1420396;1420551;1
1421162;1421218;1
1421490;1421615;1
1421924;1422048;1
1423243;1423294;1
1424584;1424654;1
1425637;1425804;1
1425943;1426051;1
1430865;1433228;1
1447542;1447853;1
1451392;1451468;1
1452547;1452792;1
1453096;1453155;1
1454301;1454370;1
1455521;1455686;1
1455928;1455997;1
1458124;1458279;1
1458891;1458947;1
1459219;1459344;1
1459653;1459777;1
1460620;1460671;1
1461841;1461911;1
1463075;1463242;1
1464603;1464711;1
1469306;1470065;1
1447542;1447853;1
1451392;1451468;1
1452691;1452792;1
1453096;1453155;1
1454301;1454370;1
1455521;1455686;1
1455928;1455997;1
1458124;1458279;1
1458891;1458947;1
1459219;1459344;1
1459653;1459777;1
1460620;1460671;1
1461841;1461911;1
1463075;1463242;1
1464603;1464711;1
1469306;1470065;1
1447910;1448070;1
1451392;1451468;1
1452691;1452792;1
1453096;1453155;1
1454301;1454370;1
1455521;1455686;1
1455928;1455997;1
1458124;1458279;1
1458891;1458947;1
1459219;1459344;1
1459653;1459777;1
1460620;1460671;1
1461841;1461911;1
1463075;1463242;1
1464603;1464711;1
1469306;1470065;1
1475670;1476004;1
1475064;1475170;1
1470969;1471177;1
1470158;1470887;1
1509858;1510243;1
1500153;1500296;1
1480243;1480382;1
1479249;1479367;1
1477053;1477547;1
1533392;1535515;1
1534813;1534996;1
1536037;1536086;1
1542253;1542590;1
1550880;1551013;1
1551888;1551994;1
1558769;1558862;1
1559154;1559325;1
1560175;1560281;1
1560371;1560565;1
1560666;1560808;1
1560926;1561033;1
1562030;1562134;1
1562217;1562379;1
1562454;1562587;1
1562676;1562824;1
1563053;1563209;1
1563399;1563559;1
1563653;1563779;1
1563869;1564102;1
1564513;1564691;1
1564765;1564946;1
1565019;1565084;1
1565672;1565985;1
1551235;1551480;1
1551888;1551994;1
1552458;1552703;1
1550880;1551013;1
1551888;1551994;1
1558769;1559079;1
1559154;1559325;1
1560175;1560281;1
1560371;1560565;1
1560666;1560808;1
1560926;1561033;1
1562030;1562134;1
1562217;1562379;1
1562454;1562587;1
1562676;1562824;1
1563053;1563209;1
1563399;1563559;1
1563653;1563779;1
1563869;1564102;1
1564513;1564691;1
1564765;1564946;1
1565019;1565084;1
1565672;1565985;1
1550880;1551013;1
1551888;1551994;1
1558769;1559079;1
1559154;1559325;1
1560175;1560281;1
1560371;1560565;1
1560666;1560808;1
1560938;1561033;1
1562030;1562134;1
1562217;1562379;1
1562454;1562587;1
1562676;1562824;1
1563053;1563209;1
1563399;1563559;1
1563653;1563779;1
1563869;1564102;1
1564513;1564691;1
1564765;1564946;1
1565019;1565084;1
1565672;1565985;1
1550880;1551013;1
1551888;1551994;1
1558769;1559079;1
1559154;1559325;1
1560175;1560281;1
1560666;1560808;1
1560926;1561033;1
1562030;1562134;1
1562217;1562379;1
1562454;1562587;1
1562676;1562824;1
1563053;1563209;1
1563399;1563559;1
1563653;1563779;1
1563869;1564102;1
1564513;1564691;1
1564765;1564946;1
1565019;1565084;1
1565672;1565985;1
1550880;1551013;1
1551888;1551994;1
1558811;1559079;1
1559154;1559325;1
1560175;1560281;1
1560371;1560565;1
1560666;1560808;1
1560926;1561033;1
1562030;1562134;1
1562217;1562379;1
1562454;1562587;1
1562676;1562824;1
1563053;1563209;1
1563399;1563559;1
1563653;1563779;1
1563869;1564102;1
1564513;1564691;1
1564765;1564946;1
1565019;1565084;1
1565672;1565985;1
1551235;1551480;1
1551888;1551994;1
1558811;1559079;1
1559154;1559325;1
1560175;1560281;1
1560666;1560808;1
1560926;1561033;1
1562030;1562134;1
1562217;1562379;1
1562454;1562587;1
1562676;1562824;1
1563053;1563209;1
1563399;1563559;1
1563653;1563779;1
1563869;1564102;1
1564513;1564691;1
1565019;1565084;1
1565672;1565985;1
1567552;1567753;1
1568162;1568292;1
1568360;1568499;1
1568567;1568734;1
1569127;1569291;1
1569368;1569478;1
1569581;1569707;1
1569827;1570030;1
1590375;1590465;1
1588825;1588948;1
1586825;1586938;1
1580487;1580625;1
1577747;1577869;1
1577267;1577362;1
1577023;1577181;1
1576409;1576474;1
1575638;1575813;1
1573862;1573952;1
1573124;1573245;1
1572770;1572875;1
1572443;1572564;1
1572259;1572366;1
1572044;1572160;1
1571695;1571843;1
1571299;1571488;1
1570603;1571218;1
1590375;1590465;1
1588825;1588948;1
1586819;1586938;1
1580487;1580625;1
1577747;1577869;1
1577267;1577362;1
1577023;1577181;1
1576409;1576474;1
1575638;1575813;1
1573862;1573952;1
1573124;1573245;1
1572770;1572875;1
1572443;1572564;1
1572259;1572366;1
1572044;1572160;1
1571695;1571843;1
1571299;1571488;1
1570603;1571218;1
1590375;1590465;1
1588825;1588948;1
1586819;1586938;1
1580487;1580625;1
1577708;1577869;1
1577267;1577362;1
1577023;1577181;1
1576409;1576474;1
1575638;1575813;1
1573862;1573952;1
1573124;1573245;1
1572770;1572875;1
1572443;1572564;1
1572259;1572366;1
1572044;1572160;1
1571695;1571843;1
1571299;1571488;1
1570603;1571218;1
1590375;1590465;1
1588825;1588948;1
1586818;1586938;1
1577267;1577365;1
1577023;1577181;1
1576409;1576474;1
1575638;1575813;1
1573862;1573952;1
1573124;1573245;1
1572770;1572875;1
1572443;1572564;1
1572259;1572366;1
1572044;1572160;1
1571695;1571843;1
1571299;1571488;1
1570603;1571218;1
1590375;1590465;1
1588825;1588948;1
1586818;1586938;1
1577747;1577871;1
1577267;1577362;1
1577023;1577181;1
1576409;1576474;1
1575638;1575813;1
1573862;1573952;1
1573124;1573245;1
1572770;1572875;1
1572443;1572564;1
1572259;1572366;1
1572044;1572160;1
1571695;1571843;1
1571299;1571488;1
1570603;1571218;1
1590375;1590465;1
1588825;1588948;1
1588706;1588752;1
1586819;1586938;1
1580487;1580625;1
1577747;1577869;1
1577267;1577362;1
1577023;1577181;1
1576409;1576474;1
1575638;1575813;1
1573862;1573952;1
1573124;1573245;1
1572770;1572875;1
1572443;1572564;1
1572259;1572366;1
1572044;1572160;1
1571695;1571843;1
1571299;1571488;1
1570603;1571218;1
1623888;1624234;1
1607817;1608285;1
1607503;1607638;1
1606902;1607029;1
1602948;1603068;1
1601537;1601590;1
1601103;1601175;1
1599766;1599911;1
1592939;1597458;1
1623888;1624234;1
1622415;1622832;1
1607817;1608285;1
1607503;1607638;1
1606902;1607029;1
1602948;1603068;1
1601537;1601590;1
1601103;1601175;1
1599766;1599911;1
1592939;1597458;1
1604722;1604819;1
1605438;1605874;1
1631378;1631511;1
1631786;1631953;1
1632346;1632510;1
1632587;1632697;1
1632800;1632926;1
1633047;1633247;1
1655697;1655796;1
1654147;1654270;1
1653035;1653150;1
1650767;1650894;1
1647785;1647917;1
1643703;1643839;1
1640957;1641079;1
1640477;1640572;1
1640233;1640391;1
1639619;1639684;1
1638964;1639023;1
1637081;1637171;1
1636343;1636464;1
1635989;1636094;1
1635662;1635783;1
1635478;1635585;1
1635263;1635379;1
1634915;1635063;1
1634519;1634708;1
1633818;1634438;1
1655697;1655796;1
1654147;1654270;1
1653035;1653150;1
1650767;1650894;1
1647785;1647917;1
1643703;1643839;1
1640918;1641079;1
1640477;1640572;1
1640233;1640391;1
1639619;1639684;1
1638964;1639023;1
1637081;1637171;1
1636343;1636464;1
1635989;1636094;1
1635662;1635783;1
1635478;1635585;1
1635263;1635379;1
1634915;1635063;1
1634519;1634708;1
1633818;1634438;1
1655697;1655796;1
1654147;1654270;1
1653035;1653150;1
1650797;1650894;1
1647785;1647917;1
1643703;1643839;1
1640957;1641079;1
1640477;1640572;1
1640233;1640391;1
1639619;1639684;1
1638848;1639023;1
1637081;1637171;1
1636343;1636464;1
1635989;1636094;1
1635662;1635783;1
1635478;1635585;1
1635263;1635379;1
1634915;1635063;1
1634519;1634708;1
1633818;1634438;1
1655697;1655796;1
1654147;1654270;1
1653035;1653150;1
1650797;1650894;1
1647785;1647917;1
1643703;1643839;1
1640918;1641079;1
1640477;1640572;1
1640233;1640391;1
1639619;1639684;1
1638848;1639023;1
1637081;1637171;1
1636343;1636464;1
1635989;1636094;1
1635662;1635783;1
1635478;1635585;1
1635263;1635379;1
1634915;1635063;1
1634519;1634708;1
1633818;1634438;1
1655697;1655796;1
1654147;1654270;1
1653035;1653150;1
1650797;1650894;1
1647785;1647917;1
1643703;1643866;1
1640957;1641079;1
1640477;1640572;1
1640233;1640391;1
1639619;1639684;1
1638848;1639023;1
1637081;1637171;1
1636343;1636464;1
1635989;1636094;1
1635662;1635783;1
1635478;1635585;1
1635263;1635379;1
1634915;1635063;1
1634519;1634708;1
1633818;1634438;1
1655697;1655796;1
1654147;1654270;1
1653035;1653150;1
1650767;1650894;1
1647785;1647917;1
1643703;1643839;1
1640957;1641079;1
1640477;1640572;1
1640233;1640391;1
1639619;1639684;1
1638848;1639023;1
1637081;1637171;1
1636343;1636464;1
1635989;1636094;1
1635662;1635783;1
1635478;1635585;1
1635263;1635379;1
